date,cloud_cover_percentage,average_rainfall_mm,average_temperature_C,average_humidity_C,average_soil_moisture,cumulative_rainfall_7d,rainfall_risk,soil_moisture_risk,flood_risk,near_rainfall_risk
17-04-2021 0.00,0.486666667,0.04,-243.82,288.55,6.75,0.27,0,0,0,0
18-04-2021 0.00,0,0,-243.26,284.39,6.75,0.04,0,0,0,0
19-04-2021 0.00,0,0,-242.75,280.89,6.75,0.04,0,0,0,0
20-04-2021 0.00,0,1.56,-241.19,282.81,6.75,1.6,0,0,0,0
21-04-2021 0.00,0,0.47,-242.74,288.63,6.75,2.07,0,0,0,0
22-04-2021 0.00,0,0,-244.39,287.71,6.75,2.07,0,0,0,0
23-04-2021 0.00,0,0,-243.04,284.18,6.75,2.07,0,0,0,0
24-04-2021 0.00,0.025,0,-240.98,281.66,6.75,2.03,0,0,0,0
25-04-2021 0.00,0.05,0,-243.33,280.6,6.75,2.03,0,0,0,0
26-04-2021 0.00,0.033333333,0.01,-242.66,281.66,6.75,2.04,0,0,0,0
27-04-2021 0.00,0.016666667,0,-241.51,280.08,6.75,0.48,0,0,0,0
28-04-2021 0.00,0,0,-240.28,281.01,6.75,0.01,0,0,0,0
29-04-2021 0.00,0.53,0,-240.58,284.83,6.75,0.01,0,0,0,0
30-04-2021 0.00,1.06,0,-241.77,289.59,6.75,0.01,0,0,0,0
01-05-2021 0.00,0.713333333,0,-240.58,288.3,6.75,0.01,0,0,0,0
02-05-2021 0.00,0.366666667,0,-242.26,291.22,6.75,0.01,0,0,0,0
03-05-2021 0.00,0.02,0.92,-243.2,291.64,6.75,0.92,0,0,0,0
04-05-2021 0.00,0.735,0,-242.09,290.48,6.75,0.92,0,0,0,0
05-05-2021 0.00,1.45,0,-242.84,292.24,6.75,0.92,0,0,0,0
06-05-2021 0.00,0.966666667,0,-242.4,293.37,6.75,0.92,0,0,0,0
07-05-2021 0.00,0.483333333,0,-242.72,293.08,6.75,0.92,0,0,0,0
08-05-2021 0.00,0,0,-241.81,292,6.75,0.92,0,0,0,0
09-05-2021 0.00,0,2.7,-241.86,292.04,6.75,3.62,0,0,0,0
10-05-2021 0.00,0,0,-242.65,292.98,6.75,2.7,0,0,0,0
11-05-2021 0.00,0.003333333,0,-241.81,291.56,6.75,2.7,0,0,0,0
12-05-2021 0.00,0.006666667,0,-242.77,293.42,6.75,2.7,0,0,0,0
13-05-2021 0.00,0.01,0,-244.63,293.9,6.75,2.7,0,0,0,0
14-05-2021 0.00,0.255,0,-242.6,292.83,6.75,2.7,0,0,0,0
15-05-2021 0.00,0.5,0,-240.72,292.22,6.75,2.7,0,0,0,0
16-05-2021 0.00,0.333333333,0,-239.38,291.88,6.75,0,0,0,0,0
17-05-2021 0.00,0.166666667,0.31,-239.96,292.34,6.75,0.31,0,0,0,0
18-05-2021 0.00,0,7.42,-245.17,293.13,6.75,7.73,0,0,0,0
19-05-2021 0.00,0.73,10.62,-246.9,294.58,6.75,18.35,0,0,0,0
20-05-2021 0.00,1.46,28.68,-245.22,296.59,6.75,47.03,0,0,0,0
21-05-2021 0.00,0.973333333,0.13,-244.93,296.08,6.75,47.16,0,0,0,0
22-05-2021 0.00,0.486666667,0,-243.42,295.07,6.75,47.16,0,0,0,0
23-05-2021 0.00,0,0,-242.2,293.71,6.75,47.16,0,0,0,0
24-05-2021 0.00,0.725,0,-242.42,291.08,6.75,46.85,0,0,0,0
25-05-2021 0.00,1.45,2.19,-242.24,292.11,6.75,41.62,0,0,0,0
26-05-2021 0.00,1.452,10.58,-245.59,295.07,6.75,41.58,0,0,0,0
27-05-2021 0.00,1.454,0.27,-248.59,296.12,6.75,13.17,0,0,0,0
28-05-2021 0.00,1.456,3.98,-248.14,295.95,6.75,17.02,0,0,0,0
29-05-2021 0.00,1.458,0,-247,295.83,6.75,17.02,0,0,0,0
30-05-2021 0.00,1.46,0,-245.48,296.75,6.75,17.02,0,0,0,0
31-05-2021 0.00,0.973333333,0,-242.53,298.41,6.75,17.02,0,0,0,0
01-06-2021 0.00,0.486666667,7.35,-242.66,298.24,6.75,22.18,0,0,0,0
02-06-2021 0.00,0,0,-242.89,297.17,6.75,11.6,0,0,0,0
03-06-2021 0.00,0.47,0,-241.63,297.23,6.75,11.33,0,0,0,0
04-06-2021 0.00,0.94,0,-241.22,296.41,6.75,7.35,0,0,0,0
05-06-2021 0.00,1.034,3.53,-242.14,295.64,6.75,10.88,0,0,0,0
06-06-2021 0.00,1.128,0,-241.03,295.54,6.75,10.88,0,0,0,0
07-06-2021 0.00,1.222,0,-239.91,294.98,6.75,10.88,0,0,0,0
08-06-2021 0.00,1.316,0,-240.05,295.91,6.75,3.53,0,0,0,0
09-06-2021 0.00,1.41,0,-243.54,297.47,6.75,3.53,0,0,0,0
10-06-2021 0.00,0.943333333,4.05,-243.39,297.97,6.75,7.58,0,0,0,0
11-06-2021 0.00,0.476666667,22.71,-244.08,298.43,6.75,30.29,0,0,0,0
12-06-2021 0.00,0.01,10.31,-245.6,297.1,6.75,37.07,0,0,0,0
13-06-2021 0.00,0.58,6.95,-245.88,298.18,6.75,44.02,0,0,0,0
14-06-2021 0.00,1.15,20.85,-246.05,298.33,6.75,64.87,0,0,0,0
15-06-2021 0.00,0.766666667,19.61,-246.02,298.35,6.75,84.48,0,0,0,1
16-06-2021 0.00,0.383333333,0.7,-246.36,298.18,6.75,85.18,0,0,0,1
17-06-2021 0.00,0,28.53,-246.83,297.46,6.75,109.66,1,0,0,1
18-06-2021 0.00,0.73,4.12,-246.48,297.55,6.75,91.07,0,0,0,1
19-06-2021 0.00,1.46,34.79,-247.65,297.55,6.75,115.55,1,0,0,1
20-06-2021 0.00,0.98,28.87,-245.77,297.68,6.75,137.47,1,0,0,1
21-06-2021 0.00,0.5,1.61,-244.8,298.37,6.75,118.23,1,0,0,1
22-06-2021 0.00,0.02,14.65,-245.29,298.54,6.75,113.27,1,0,0,1
23-06-2021 0.00,0.65,12.99,-245.6,298.52,6.75,125.56,1,0,0,1
24-06-2021 0.00,1.28,14.72,-244.71,298.62,6.75,111.75,1,0,0,1
25-06-2021 0.00,0.853333333,28.69,-246.27,298.31,6.75,136.32,1,0,0,1
26-06-2021 0.00,0.426666667,18.86,-246.14,298.18,6.75,120.39,1,0,0,1
27-06-2021 0.00,0,6.8,-245.38,298.84,6.75,98.32,0,0,0,1
28-06-2021 0.00,0.725,8.98,-243.26,299.32,6.75,105.69,1,0,0,1
29-06-2021 0.00,1.45,2.81,-242.08,298.93,6.75,93.85,0,0,0,1
30-06-2021 0.00,0.97,12.7,-240.03,297.88,6.75,93.56,0,0,0,1
01-07-2021 0.00,0.49,3.42,-241.06,298.25,6.75,82.26,0,0,0,1
02-07-2021 0.00,0.01,2.14,-243.41,298.16,6.75,55.71,0,0,0,0
03-07-2021 0.00,0.555,13.78,-243.24,298.63,6.75,50.63,0,0,0,0
04-07-2021 0.00,1.1,7.42,-243.11,299.02,6.75,51.25,0,0,0,0
05-07-2021 0.00,0.733333333,8,-242.9,299.47,6.75,50.27,0,0,0,0
06-07-2021 0.00,0.366666667,0,-241.72,299.15,6.75,47.46,0,0,0,0
07-07-2021 0.00,0,8.95,-241.45,298.81,6.75,43.71,0,0,0,0
08-07-2021 0.00,0.51,18.54,-244.88,299.21,6.75,58.83,0,0,0,0
09-07-2021 0.00,1.02,1.69,-244.15,298.94,6.75,58.38,0,0,0,0
10-07-2021 0.00,0.68,2.09,-243.16,299.23,6.75,46.69,0,0,0,0
11-07-2021 0.00,0.34,4.82,-243.82,298.6,6.75,44.09,0,0,0,0
12-07-2021 0.00,0,0,-243.1,298.03,6.75,36.09,0,0,0,0
13-07-2021 0.00,0.015,0,-242.61,297.74,6.75,36.09,0,0,0,0
14-07-2021 0.00,0.03,0,-242.82,297.94,6.75,27.14,0,0,0,0
15-07-2021 0.00,0.164,0,-242.54,297.67,6.75,8.6,0,0,0,0
16-07-2021 0.00,0.298,2.3,-242.03,298.6,6.75,9.21,0,0,0,0
17-07-2021 0.00,0.432,20.98,-242.57,298.83,6.75,28.1,0,0,0,0
18-07-2021 0.00,0.566,8.64,-244.77,298.76,6.75,31.92,0,0,0,0
19-07-2021 0.00,0.7,15.72,-243.77,299.03,6.75,47.64,0,0,0,0
20-07-2021 0.00,0.473333333,14.81,-244.54,298.85,6.75,62.45,0,0,0,0
21-07-2021 0.00,0.246666667,13.51,-244.51,298.88,6.75,75.96,0,0,0,0
22-07-2021 0.00,0.02,9.19,-244.25,298.88,6.75,85.15,0,0,0,1
23-07-2021 0.00,0.805,15.94,-243.01,298.11,6.75,98.79,0,0,0,1
24-07-2021 0.00,1.59,7.41,-244.62,298.03,6.75,85.22,0,0,0,1
25-07-2021 0.00,1.564,4.3,-243.21,297.85,6.75,80.88,0,0,0,1
26-07-2021 0.00,1.538,16.13,-243.79,297.41,6.75,81.29,0,0,0,1
27-07-2021 0.00,1.512,5.32,-245.05,298.38,6.75,71.8,0,0,0,0
28-07-2021 0.00,1.486,8.36,-245.28,297.7,6.75,66.65,0,0,0,0
29-07-2021 0.00,1.46,14.69,-245.74,296.82,6.75,72.15,0,0,0,0
30-07-2021 0.00,0.98,16.87,-245.32,297.69,6.75,73.08,0,0,0,0
31-07-2021 0.00,0.5,9.33,-247.46,297.55,6.75,75,0,0,0,0
01-08-2021 0.00,0.02,9.74,-246.61,296.61,6.75,80.44,0,0,0,1
02-08-2021 0.00,0.245,1.98,-245.19,296.33,6.75,66.29,0,0,0,0
03-08-2021 0.00,0.47,0.06,-244.24,296.69,6.75,61.03,0,0,0,0
04-08-2021 0.00,0.313333333,7.79,-244.85,296.91,6.75,60.46,0,0,0,0
05-08-2021 0.00,0.156666667,2.33,-244.05,297.86,6.75,48.1,0,0,0,0
06-08-2021 0.00,0,7.05,-243.87,299.17,6.75,38.28,0,0,0,0
07-08-2021 0.00,0.73,14.86,-244.43,299.23,6.75,43.81,0,0,0,0
08-08-2021 0.00,1.46,8.67,-245.14,298.74,6.75,42.74,0,0,0,0
09-08-2021 0.00,0.976666667,7.94,-246.38,298.08,6.75,48.7,0,0,0,0
10-08-2021 0.00,0.493333333,7.23,-246.17,298.65,6.75,55.87,0,0,0,0
11-08-2021 0.00,0.01,26.5,-246.36,298.52,6.75,74.58,0,0,0,0
12-08-2021 0.00,0.64,15.32,-245.38,298.55,6.75,87.57,0,0,0,1
13-08-2021 0.00,1.27,0.2,-243.73,298.25,6.75,80.72,0,0,0,1
14-08-2021 0.00,0.85,2.32,-243.75,298.04,6.75,68.18,0,0,0,0
15-08-2021 0.00,0.43,0.18,-243.33,298.6,6.75,59.69,0,0,0,0
16-08-2021 0.00,0.01,15.65,-242.95,299.4,6.75,67.4,0,0,0,0
17-08-2021 0.00,0.555,5.52,-243.28,299.47,6.75,65.69,0,0,0,0
18-08-2021 0.00,1.1,17.43,-243.77,298.89,6.75,56.62,0,0,0,0
19-08-2021 0.00,0.733333333,15.64,-245.13,298.88,6.75,56.94,0,0,0,0
20-08-2021 0.00,0.366666667,17.19,-244.7,298.61,6.75,73.93,0,0,0,0
21-08-2021 0.00,0,0.04,-244.53,298.77,6.75,71.65,0,0,0,0
22-08-2021 0.00,0.725,13.18,-244.05,298.73,6.75,84.65,0,0,0,1
23-08-2021 0.00,1.45,9.72,-244.22,298.36,6.75,78.72,0,0,0,0
24-08-2021 0.00,0.97,4.05,-244.22,298.41,6.75,77.25,0,0,0,0
25-08-2021 0.00,0.49,12.4,-244.81,298.44,6.75,72.22,0,0,0,0
26-08-2021 0.00,0.01,18.61,-245.34,297.85,6.75,75.19,0,0,0,0
27-08-2021 0.00,0.73,6.19,-245.11,298.01,6.75,64.19,0,0,0,0
28-08-2021 0.00,1.45,0,-244.77,298.49,6.75,64.15,0,0,0,0
29-08-2021 0.00,0.97,3.51,-244.89,298.32,6.75,54.48,0,0,0,0
30-08-2021 0.00,0.49,0.31,-244.81,298.37,6.75,45.07,0,0,0,0
31-08-2021 0.00,0.01,0.86,-244.85,297.55,6.75,41.88,0,0,0,0
01-09-2021 0.00,0.61,0,-243.86,298.79,6.75,29.48,0,0,0,0
02-09-2021 0.00,1.21,22.62,-243.79,298.44,6.75,33.49,0,0,0,0
03-09-2021 0.00,0.813333333,5.95,-244.24,298.79,6.75,33.25,0,0,0,0
04-09-2021 0.00,0.416666667,0,-244.24,298.81,6.75,33.25,0,0,0,0
05-09-2021 0.00,0.02,0,-243.64,299.61,6.75,29.74,0,0,0,0
06-09-2021 0.00,0.41,14.58,-243.69,299.07,6.75,44.01,0,0,0,0
07-09-2021 0.00,0.8,0.35,-245,297.28,6.75,43.5,0,0,0,0
08-09-2021 0.00,0.533333333,1.46,-245.43,297.75,6.75,44.96,0,0,0,0
09-09-2021 0.00,0.266666667,0.2,-245.18,298.25,6.75,22.54,0,0,0,0
10-09-2021 0.00,0,2.33,-244.73,298.81,6.75,18.92,0,0,0,0
11-09-2021 0.00,0,0,-244.3,298.35,6.75,18.92,0,0,0,0
12-09-2021 0.00,0,0,-244.06,298.39,6.75,18.92,0,0,0,0
13-09-2021 0.00,0.006666667,27.09,-244.72,298.39,6.75,31.43,0,0,0,0
14-09-2021 0.00,0.013333333,0,-246.16,297.5,6.75,31.08,0,0,0,0
15-09-2021 0.00,0.02,46.01,-247.75,297.41,6.75,75.63,0,0,0,0
16-09-2021 0.00,0.74,45.42,-247.23,297.41,6.75,120.85,1,0,0,1
17-09-2021 0.00,1.46,6.71,-246.13,297.35,6.75,125.23,1,0,0,1
18-09-2021 0.00,0.98,0,-245.13,298.3,6.75,125.23,1,0,0,1
19-09-2021 0.00,0.5,0,-244.59,298.66,6.75,125.23,1,0,0,1
20-09-2021 0.00,0.02,21.84,-245.05,298.42,6.75,119.98,1,0,0,1
21-09-2021 0.00,0.315,0,-245.1,297.63,6.75,119.98,1,0,0,1
22-09-2021 0.00,0.61,0.07,-245.51,296.87,6.75,74.04,0,0,0,0
23-09-2021 0.00,0.41,27.07,-246.74,297.52,6.75,55.69,0,0,0,0
24-09-2021 0.00,0.21,0,-245.13,298.44,6.75,48.98,0,0,0,0
25-09-2021 0.00,0.01,15.43,-244.85,298.59,6.75,64.41,0,0,0,0
26-09-2021 0.00,0.005,0.83,-244.49,298.9,6.75,65.24,0,0,0,0
27-09-2021 0.00,0,1.1,-244.46,298.26,6.75,44.5,0,0,0,0
28-09-2021 0.00,0,0,-245.42,297.51,6.75,44.5,0,0,0,0
29-09-2021 0.00,0,0,-245.56,297.26,6.75,44.43,0,0,0,0
30-09-2021 0.00,0,0,-246.1,296.06,6.75,17.36,0,0,0,0
01-10-2021 0.00,0.725,1.03,-248.34,296.92,6.75,18.39,0,0,0,0
02-10-2021 0.00,1.45,0,-248.81,296.53,6.75,2.96,0,0,0,0
03-10-2021 0.00,1.246,49.4,-245.55,297.65,6.75,51.53,0,0,0,0
04-10-2021 0.00,1.042,0.82,-245.17,297.9,6.75,51.25,0,0,0,0
05-10-2021 0.00,0.838,0,-245.02,298.34,6.75,51.25,0,0,0,0
06-10-2021 0.00,0.634,0,-245.18,298.14,6.75,51.25,0,0,0,0
07-10-2021 0.00,0.43,0,-244.87,298.44,6.75,51.25,0,0,0,0
08-10-2021 0.00,0.376,0,-245.72,296.3,6.75,50.22,0,0,0,0
09-10-2021 0.00,0.322,0,-246.09,296.07,6.75,50.22,0,0,0,0
10-10-2021 0.00,0.268,0,-246.03,295.8,6.75,0.82,0,0,0,0
11-10-2021 0.00,0.214,0,-245.95,295.56,6.75,0,0,0,0,0
12-10-2021 0.00,0.16,0,-246.24,295.7,6.75,0,0,0,0,0
13-10-2021 0.00,0.14,0,-246.35,295.26,6.75,0,0,0,0,0
14-10-2021 0.00,0.12,0,-245.87,296.17,6.75,0,0,0,0,0
15-10-2021 0.00,0.1,0,-244.73,297.05,6.75,0,0,0,0,0
16-10-2021 0.00,0.08,5.97,-244.21,297.72,6.75,5.97,0,0,0,0
17-10-2021 0.00,0.06,0.24,-245.46,297.4,6.75,6.21,0,0,0,0
18-10-2021 0.00,0.048,0.2,-247.43,296.95,6.75,6.41,0,0,0,0
19-10-2021 0.00,0.036,13,-247.56,296.32,6.75,19.41,0,0,0,0
20-10-2021 0.00,0.024,0,-248.51,293.37,6.75,19.41,0,0,0,0
21-10-2021 0.00,0.012,0,-248.33,291.77,6.75,19.41,0,0,0,0
22-10-2021 0.00,0,0,-249.41,291.66,6.75,19.41,0,0,0,0
23-10-2021 0.00,0,0,-248.48,293.01,6.75,13.44,0,0,0,0
24-10-2021 0.00,0,0,-248.67,293.44,6.75,13.2,0,0,0,0
25-10-2021 0.00,0,0,-249,292.43,6.75,13,0,0,0,0
26-10-2021 0.00,0,0,-249.51,291.84,6.75,0,0,0,0,0
27-10-2021 0.00,0,0,-250.84,290.03,6.75,0,0,0,0,0
28-10-2021 0.00,0,0,-251.31,288.38,6.75,0,0,0,0,0
29-10-2021 0.00,0,0,-251.77,287.77,6.75,0,0,0,0,0
30-10-2021 0.00,0,0,-251.62,287.76,6.75,0,0,0,0,0
31-10-2021 0.00,0,0,-251.6,288.23,6.75,0,0,0,0,0
01-11-2021 0.00,0,0,-251.09,288.24,6.75,0,0,0,0,0
02-11-2021 0.00,0,0,-250.97,288.61,6.75,0,0,0,0,0
03-11-2021 0.00,0,0,-251.13,288.51,6.75,0,0,0,0,0
04-11-2021 0.00,0,0.39,-251.12,288.85,6.75,0.39,0,0,0,0
05-11-2021 0.00,0,0,-250.91,289.34,6.75,0.39,0,0,0,0
06-11-2021 0.00,0,0,-251.43,288.25,6.75,0.39,0,0,0,0
07-11-2021 0.00,0.204,0,-251.8,287.87,6.75,0.39,0,0,0,0
08-11-2021 0.00,0.408,0,-252.02,288.37,6.75,0.39,0,0,0,0
09-11-2021 0.00,0.612,0,-251.73,288.57,6.75,0.39,0,0,0,0
10-11-2021 0.00,0.816,0,-251.49,288.2,6.75,0.39,0,0,0,0
11-11-2021 0.00,1.02,0,-251.74,288.31,6.75,0,0,0,0,0
12-11-2021 0.00,0.816,0,-251.63,287.46,6.75,0,0,0,0,0
13-11-2021 0.00,0.612,0,-251.49,288.01,6.75,0,0,0,0,0
14-11-2021 0.00,0.408,0,-251.48,288.77,6.75,0,0,0,0,0
15-11-2021 0.00,0.204,0.17,-251.95,288.06,6.75,0.17,0,0,0,0
16-11-2021 0.00,0,0,-252.62,287.16,6.75,0.17,0,0,0,0
17-11-2021 0.00,0,0,-252.88,287.03,6.75,0.17,0,0,0,0
18-11-2021 0.00,0,0,-252.49,286.68,6.75,0.17,0,0,0,0
19-11-2021 0.00,0,0,-252.16,287.48,6.75,0.17,0,0,0,0
20-11-2021 0.00,0,0,-250.84,288.47,6.75,0.17,0,0,0,0
21-11-2021 0.00,0,0,-250.78,288.14,6.75,0.17,0,0,0,0
22-11-2021 0.00,0,0,-251.85,284.3,6.75,0,0,0,0,0
23-11-2021 0.00,0,0,-253.94,282.73,6.75,0,0,0,0,0
24-11-2021 0.00,0,0.3,-253.99,283.42,6.75,0.3,0,0,0,0
25-11-2021 0.00,0,0,-253.49,284.02,6.75,0.3,0,0,0,0
26-11-2021 0.00,0,0,-253.55,284.8,6.75,0.3,0,0,0,0
27-11-2021 0.00,0,0,-253.61,285.7,6.75,0.3,0,0,0,0
28-11-2021 0.00,0,0,-253.68,286.18,6.75,0.3,0,0,0,0
29-11-2021 0.00,0,0,-254.14,286.15,6.75,0.3,0,0,0,0
30-11-2021 0.00,0,0,-253.47,286.04,6.75,0.3,0,0,0,0
01-12-2021 0.00,0,0,-253.62,286.52,6.75,0,0,0,0,0
02-12-2021 0.00,0,0.59,-253.75,287.17,6.75,0.59,0,0,0,0
03-12-2021 0.00,0,0,-253.17,288.22,6.75,0.59,0,0,0,0
04-12-2021 0.00,0,0,-253.32,288.72,6.75,0.59,0,0,0,0
05-12-2021 0.00,0,0,-252.23,288.85,6.75,0.59,0,0,0,0
06-12-2021 0.00,0,0,-251.16,289.11,6.75,0.59,0,0,0,0
07-12-2021 0.00,0,0,-252.58,287.65,6.75,0.59,0,0,0,0
08-12-2021 0.00,0,0,-253.77,283.96,6.75,0.59,0,0,0,0
09-12-2021 0.00,0,0,-253.33,284.68,6.75,0,0,0,0,0
10-12-2021 0.00,0,0,-254.39,284.33,6.75,0,0,0,0,0
11-12-2021 0.00,0,0,-255.94,283.86,6.75,0,0,0,0,0
12-12-2021 0.00,0,0.09,-255.79,283.35,6.75,0.09,0,0,0,0
13-12-2021 0.00,0,0,-256.24,283.2,6.75,0.09,0,0,0,0
14-12-2021 0.00,0,0,-256.83,282.89,6.75,0.09,0,0,0,0
15-12-2021 0.00,0,0,-256.34,283.53,6.75,0.09,0,0,0,0
16-12-2021 0.00,0,0,-254.98,285.7,6.75,0.09,0,0,0,0
17-12-2021 0.00,0,0,-253.84,285.03,6.75,0.09,0,0,0,0
18-12-2021 0.00,0,0,-258.03,277.34,6.75,0.09,0,0,0,0
19-12-2021 0.00,0,0.04,-259.87,278.86,6.75,0.04,0,0,0,0
20-12-2021 0.00,0,0,-259.77,280.69,6.75,0.04,0,0,0,0
21-12-2021 0.00,0,0,-259.65,280.4,6.75,0.04,0,0,0,0
22-12-2021 0.00,0,0,-258.28,281.2,6.75,0.04,0,0,0,0
23-12-2021 0.00,0,0,-257.38,281.88,6.75,0.04,0,0,0,0
24-12-2021 0.00,0,0.01,-256.72,282.77,6.75,0.05,0,0,0,0
25-12-2021 0.00,0.045,0,-256.25,284.13,6.75,0.05,0,0,0,0
26-12-2021 0.00,0.09,0,-256.23,285.34,6.75,0.01,0,0,0,0
27-12-2021 0.00,0.063333333,0,-255.68,285.67,6.75,0.01,0,0,0,0
28-12-2021 0.00,0.036666667,11.42,-255.37,288.01,6.75,11.43,0,0,0,0
29-12-2021 0.00,0.01,0,-257.49,286.11,6.75,11.43,0,0,0,0
30-12-2021 0.00,0.645,0,-259.27,283.74,6.75,11.43,0,0,0,0
31-12-2021 0.00,1.28,0,-258.54,283.97,6.75,11.42,0,0,0,0
01-01-2022 0.00,0.853333333,0,-258.39,283.77,6.75,11.42,0,0,0,0
02-01-2022 0.00,0.426666667,0,-258.89,283.65,6.75,11.42,0,0,0,0
03-01-2022 0.00,0,3.69,-259.17,282.76,6.75,15.11,0,0,0,0
04-01-2022 0.00,0.72,0,-258.3,283.16,6.75,3.69,0,0,0,0
05-01-2022 0.00,1.44,0.42,-257.32,284.97,6.75,4.11,0,0,0,0
06-01-2022 0.00,0.963333333,0,-256.47,286.87,6.75,4.11,0,0,0,0
07-01-2022 0.00,0.486666667,0,-256.4,287.7,6.75,4.11,0,0,0,0
08-01-2022 0.00,0.01,0,-255.3,287.83,6.75,4.11,0,0,0,0
09-01-2022 0.00,0.355,6.04,-256.29,288.24,6.75,10.15,0,0,0,0
10-01-2022 0.00,0.7,0,-255.29,288.36,6.75,6.46,0,0,0,0
11-01-2022 0.00,0.466666667,0,-255.83,288.35,6.75,6.46,0,0,0,0
12-01-2022 0.00,0.233333333,0,-257.42,284.36,6.75,6.04,0,0,0,0
13-01-2022 0.00,0,0,-258.63,282.75,6.75,6.04,0,0,0,0
14-01-2022 0.00,0.005,0,-258.47,283.25,6.75,6.04,0,0,0,0
15-01-2022 0.00,0.01,0,-259.02,283.12,6.75,6.04,0,0,0,0
16-01-2022 0.00,0.01,0,-259.73,282.43,6.75,0,0,0,0,0
17-01-2022 0.00,0.01,0,-261.09,281.2,6.75,0,0,0,0,0
18-01-2022 0.00,0.01,0,-261.65,280.97,6.75,0,0,0,0,0
19-01-2022 0.00,0.275,0,-261.41,281.42,6.75,0,0,0,0,0
20-01-2022 0.00,0.54,0.87,-259.86,282.6,6.75,0.87,0,0,0,0
21-01-2022 0.00,0.363333333,0,-258.5,283.86,6.75,0.87,0,0,0,0
22-01-2022 0.00,0.186666667,0,-257.39,286.02,6.75,0.87,0,0,0,0
23-01-2022 0.00,0.01,0,-256.16,287.68,6.75,0.87,0,0,0,0
24-01-2022 0.00,0.005,0,-258.41,286.69,6.75,0.87,0,0,0,0
25-01-2022 0.00,0,0,-257.96,282.65,6.75,0.87,0,0,0,0
26-01-2022 0.00,0,1.2,-259.49,280.05,6.75,2.07,0,0,0,0
27-01-2022 0.00,0,0,-259.41,280.22,6.75,1.2,0,0,0,0
28-01-2022 0.00,0,0.05,-259.5,280.74,6.75,1.25,0,0,0,0
29-01-2022 0.00,0,0,-259.4,280.83,6.75,1.25,0,0,0,0
30-01-2022 0.00,0,0,-257.94,282.3,6.75,1.25,0,0,0,0
31-01-2022 0.00,0,0,-257.51,284.25,6.75,1.25,0,0,0,0
01-02-2022 0.00,0,0,-256.91,285.07,6.75,1.25,0,0,0,0
02-02-2022 0.00,0,0,-256.42,285.47,6.75,0.05,0,0,0,0
03-02-2022 0.00,0,0.7,-254.88,286.71,6.75,0.75,0,0,0,0
04-02-2022 0.00,0,0,-257.6,284.75,6.75,0.7,0,0,0,0
05-02-2022 0.00,0,0,-259.45,281.71,6.75,0.7,0,0,0,0
06-02-2022 0.00,0,0,-259.16,282.16,6.75,0.7,0,0,0,0
07-02-2022 0.00,0,0,-258.03,282.65,6.75,0.7,0,0,0,0
08-02-2022 0.00,0,2.63,-256.32,283.83,6.75,3.33,0,0,0,0
09-02-2022 0.00,0,0,-256.14,286.33,6.75,3.33,0,0,0,0
10-02-2022 0.00,0,0,-256.09,285.22,6.75,2.63,0,0,0,0
11-02-2022 0.00,0,0,-256.94,280.68,6.75,2.63,0,0,0,0
12-02-2022 0.00,0,0,-257.38,281.24,6.75,2.63,0,0,0,0
13-02-2022 0.00,0,0,-257.13,281.88,6.75,2.63,0,0,0,0
14-02-2022 0.00,0,0.51,-256.35,282.54,6.75,3.14,0,0,0,0
15-02-2022 0.00,0,0,-256.41,282.9,6.75,0.51,0,0,0,0
16-02-2022 0.00,0,0,-255.68,284.11,6.75,0.51,0,0,0,0
17-02-2022 0.00,0,0,-255.02,281.79,6.75,0.51,0,0,0,0
18-02-2022 0.00,0,0,-254.31,280.58,6.75,0.51,0,0,0,0
19-02-2022 0.00,0,0,-252.57,281.41,6.75,0.51,0,0,0,0
20-02-2022 0.00,0,0.74,-253.68,279.46,6.75,1.25,0,0,0,0
21-02-2022 0.00,0,0,-253.83,281.44,6.75,0.74,0,0,0,0
22-02-2022 0.00,0,0,-253.2,281.71,6.75,0.74,0,0,0,0
23-02-2022 0.00,0,0.28,-251.05,285.01,6.75,1.02,0,0,0,0
24-02-2022 0.00,0,2.11,-250.96,287,6.75,3.13,0,0,0,0
25-02-2022 0.00,0,4.76,-251.95,287.65,6.75,7.89,0,0,0,0
26-02-2022 0.00,0,0,-250.95,285.78,6.75,7.89,0,0,0,0
27-02-2022 0.00,0,0.22,-250.72,287.07,6.75,7.37,0,0,0,0
28-02-2022 0.00,0,0,-251.94,284.46,6.75,7.37,0,0,0,0
01-03-2022 0.00,0,0,-252.71,282.54,6.75,7.37,0,0,0,0
02-03-2022 0.00,0,0.93,-252.66,284.04,6.75,8.02,0,0,0,0
03-03-2022 0.00,0,0,-251.14,284.12,6.75,5.91,0,0,0,0
04-03-2022 0.00,0,0,-249.3,283.97,6.75,1.15,0,0,0,0
05-03-2022 0.00,0,0.04,-251.3,284.24,6.75,1.19,0,0,0,0
06-03-2022 0.00,0,0,-251.2,284.83,6.75,0.97,0,0,0,0
07-03-2022 0.00,0,0,-249.97,285.84,6.75,0.97,0,0,0,0
08-03-2022 0.00,0,0,-249.79,284.69,6.75,0.97,0,0,0,0
09-03-2022 0.00,0,0,-249.57,284.71,6.75,0.04,0,0,0,0
10-03-2022 0.00,0,0,-248.67,284.71,6.75,0.04,0,0,0,0
11-03-2022 0.00,0,0.77,-248.47,284.52,6.75,0.81,0,0,0,0
12-03-2022 0.00,0,0,-248.79,284.67,6.75,0.77,0,0,0,0
